DimArray,processes,generateArray_time,countingSort_time,elapsed
100000000,4,0.310072,0.138880,0.448952
100000000,4,0.308236,0.141049,0.449285
100000000,4,0.310133,0.142064,0.452197
100000000,4,0.312865,0.143548,0.456413
100000000,4,0.320498,0.139632,0.460130
100000000,4,0.323990,0.137294,0.461284
100000000,4,0.322323,0.136544,0.458867
100000000,4,0.316299,0.135377,0.451676
100000000,4,0.311881,0.136758,0.448639
100000000,4,0.306915,0.140219,0.447134
100000000,4,0.312690,0.138259,0.450949
100000000,4,0.307342,0.140030,0.447372
100000000,4,0.312232,0.137077,0.449309
100000000,4,0.309032,0.138501,0.447533
100000000,4,0.307081,0.140263,0.447344
100000000,4,0.310928,0.139281,0.450209
100000000,4,0.311678,0.139556,0.451234
100000000,4,0.306183,0.142041,0.448224
100000000,4,0.305845,0.141528,0.447373
100000000,4,0.310252,0.138982,0.449234
100000000,4,0.309622,0.138510,0.448132
100000000,4,0.306837,0.141840,0.448677
100000000,4,0.309630,0.139259,0.448889
100000000,4,0.303802,0.141636,0.445438
100000000,4,0.309840,0.139746,0.449586
100000000,4,0.311330,0.139976,0.451306
100000000,4,0.309415,0.142874,0.452289
100000000,4,0.312276,0.139948,0.452224
100000000,4,0.306551,0.142776,0.449327
100000000,4,0.310897,0.139487,0.450384
100000000,4,0.309310,0.142503,0.451813
100000000,4,0.307530,0.142763,0.450293
100000000,4,0.307322,0.142791,0.450113
100000000,4,0.309645,0.138900,0.448545
100000000,4,0.310596,0.138768,0.449364
100000000,4,0.309011,0.144176,0.453187
100000000,4,0.311174,0.139362,0.450536
100000000,4,0.312078,0.139333,0.451411
100000000,4,0.310693,0.139027,0.449720
100000000,4,0.306573,0.142210,0.448783
100000000,4,0.312431,0.140732,0.453163
100000000,4,0.309978,0.142413,0.452391
100000000,4,0.305176,0.139763,0.444939
100000000,4,0.312001,0.141056,0.453057
100000000,4,0.306843,0.141895,0.448738
100000000,4,0.311938,0.139827,0.451765
100000000,4,0.312053,0.140092,0.452145
100000000,4,0.311457,0.141344,0.452801
100000000,4,0.312130,0.138680,0.450810
100000000,4,0.311882,0.138903,0.450785
